Date,Closing Price
1999-12-31,288.25
2000-01-31,310.25
2000-02-29,307.75
2000-03-31,282.80
2000-04-30,273.50
2000-05-31,273.50
2000-06-30,285.50
2000-07-31,277.50
2000-08-31,274.50
2000-09-30,272.50
2000-10-31,266.50
2000-11-30,268.50
2000-12-31,272.40
2001-01-31,265.85
2001-02-28,267.25
2001-03-31,257.95
2001-04-30,264.05
2001-05-31,266.05
2001-06-30,270.85
2001-07-31,266.85
2001-08-31,274.45
2001-09-30,292.95
2001-10-31,279.65
2001-11-30,274.40
2001-12-31,278.95
2002-01-31,282.25
2002-02-28,294.00
2002-03-31,298.50
2002-04-30,306.75
2002-05-31,322.00
2002-06-30,314.00
2002-07-31,319.50
2002-08-31,320.00
2002-09-30,322.00
2002-10-31,322.00
2002-11-30,322.00
2002-12-31,347.00
2003-01-31,355.00
2003-02-28,354.00
2003-03-31,326.00
2003-04-30,330.00
2003-05-31,350.00
2003-06-30,355.00
2003-07-31,359.00
2003-08-31,370.00
2003-09-30,383.00
2003-10-31,379.00
2003-11-30,400.00
2003-12-31,415.05
2004-01-31,410.00
2004-02-29,396.45
2004-03-31,422.00
2004-04-30,394.00
2004-05-31,382.00
2004-06-30,393.00
2004-07-31,398.00
2004-08-31,400.00
2004-09-30,416.00
2004-10-31,422.00
2004-11-30,450.00
2004-12-31,438.00
2005-01-31,428.00
2005-02-28,425.00
2005-03-31,424.00
2005-04-30,432.00
2005-05-31,420.00
2005-06-30,440.00
2005-07-31,436.00
2005-08-31,444.00
2005-09-30,464.00
2005-10-31,472.00
2005-11-30,488.00
2005-12-31,517.60
2006-01-31,553.00
2006-02-28,558.00
2006-03-31,558.00
2006-04-30,600.00
2006-05-31,688.00
2006-06-30,600.00
2006-07-31,630.00
2006-08-31,630.00
2006-09-30,600.00
2006-10-31,588.00
2006-11-30,628.00
2006-12-31,636.00
2007-01-31,650.00
2007-02-28,660.00
2007-03-31,658.00
2007-04-30,670.00
2007-05-31,660.00
2007-06-30,658.00
2007-07-31,675.00
2007-08-31,680.00
2007-09-30,738.00
2007-10-31,790.00
2007-11-30,808.00
2007-12-31,838.00
2008-01-31,900.00
2008-02-29,950.00
2008-03-31,990.00
2008-04-30,890.00
2008-05-31,900.00
2008-06-30,900.00
2008-07-31,930.00
2008-08-31,820.00
2008-09-30,880.00
2008-10-31,750.00
2008-11-30,830.00
2008-12-31,872.00
2009-01-31,900.00
2009-02-28,970.00
2009-03-31,920.00
2009-04-30,900.00
2009-05-31,970.00
2009-06-30,930.00
2009-07-31,950.00
2009-08-31,950.00
2009-09-30,1000.00
2009-10-31,1080.00
2009-11-30,1170.00
2009-12-31,1090.00
2010-01-31,1110.00
2010-02-28,1100.00
2010-03-31,1120.00
2010-04-30,1150.00
2010-05-31,1210.00
2010-06-30,1240.00
2010-07-31,1180.00
2010-08-31,1230.00
2010-09-30,1300.00
2010-10-31,1340.00
2010-11-30,1400.00
2010-12-31,1420.00
2011-01-31,1340.00
2011-02-28,1410.00
2011-03-31,1420.00
2011-04-30,1500.00
2011-05-31,1540.00
2011-06-30,1500.00
2011-07-31,1620.00
2011-08-31,1790.00
2011-09-30,1650.00
2011-10-31,1740.00
2011-11-30,1720.00
2011-12-31,1560.00
2012-01-31,1730.00
2012-02-29,1710.00
2012-03-31,1660.00
2012-04-30,1650.00
2012-05-31,1560.00
2012-06-30,1590.00
2012-07-31,1600.00
2012-08-31,1690.00
2012-09-30,1770.00
2012-10-31,1700.00
2012-11-30,1720.00
2012-12-31,1670.00
2013-01-31,1670.00
2013-02-28,1570.00
2013-03-31,1590.00
2013-04-30,1450.00
2013-05-31,1410.00
2013-06-30,1230.00
2013-07-31,1330.00
2013-08-31,1390.00
2013-09-30,1330.00
2013-10-31,1350.00
2013-11-30,1240.00
2013-12-31,1200.00
2014-01-31,1240.00
2014-02-28,1330.00
2014-03-31,1300.00
2014-04-30,1290.00
2014-05-31,1250.00
2014-06-30,1310.00
2014-07-31,1300.00
2014-08-31,1280.00
2014-09-30,1210.00
