Date,Closing Price
1999-12-31,1469.25
2000-01-31,1394.46
2000-02-29,1362.42
2000-03-31,1498.58
2000-04-30,1452.43
2000-05-31,1420.60
2000-06-30,1454.60
2000-07-31,1430.83
2000-08-31,1517.68
2000-09-30,1436.51
2000-10-31,1375.76
2000-11-30,1319.82
2000-12-31,1320.28
2001-01-31,1366.01
2001-02-28,1239.94
2001-03-31,1160.01
2001-04-30,1249.46
2001-05-31,1255.40
2001-06-30,1223.83
2001-07-31,1213.97
2001-08-31,1146.03
2001-09-30,1040.94
2001-10-31,1137.05
2001-11-30,1139.75
2001-12-31,1144.97
2002-01-31,1130.68
2002-02-28,1106.73
2002-03-31,1147.38
2002-04-30,1093.59
2002-05-31,1086.41
2002-06-30,989.82
2002-07-31,848.18
2002-08-31,902.66
2002-09-30,815.28
2002-10-31,894.06
2002-11-30,936.32
2002-12-31,879.82
2003-01-31,878.50
2003-02-28,841.16
2003-03-31,848.06
2003-04-30,916.92
2003-05-31,985.64
2003-06-30,974.50
2003-07-31,999.03
2003-08-31,995.94
2003-09-30,1001.37
2003-10-31,1051.81
2003-11-30,1057.29
2003-12-31,1111.92
2004-01-31,1135.53
2004-02-29,1144.94
2004-03-31,1121.78
2004-04-30,1105.12
2004-05-31,1120.68
2004-06-30,1140.86
2004-07-31,1101.72
2004-08-31,1112.59
2004-09-30,1113.33
2004-10-31,1146.40
2004-11-30,1184.28
2004-12-31,1211.92
2005-01-31,1181.27
2005-02-28,1203.60
2005-03-31,1180.59
2005-04-30,1182.20
2005-05-31,1200.70
2005-06-30,1191.33
2005-07-31,1223.10
2005-08-31,1234.18
2005-09-30,1228.81
2005-10-31,1207.24
2005-11-30,1249.48
2005-12-31,1248.29
2006-01-31,1280.08
2006-02-28,1281.36
2006-03-31,1294.88
2006-04-30,1310.63
2006-05-31,1270.09
2006-06-30,1272.74
2006-07-31,1278.50
2006-08-31,1301.66
2006-09-30,1335.88
2006-10-31,1377.94
2006-11-30,1400.16
2006-12-31,1418.30
2007-01-31,1438.24
2007-02-28,1406.82
2007-03-31,1420.31
2007-04-30,1482.37
2007-05-31,1530.44
2007-06-30,1503.23
2007-07-31,1548.82
2007-08-31,1473.99
2007-09-30,1526.75
2007-10-31,1549.38
2007-11-30,1481.14
2007-12-31,1468.36
2008-01-31,1378.55
2008-02-29,1330.63
2008-03-31,1322.70
2008-04-30,1390.87
2008-05-31,1426.63
2008-06-30,1280.00
2008-07-31,1267.38
2008-08-31,1285.50
2008-09-30,1116.59
2008-10-31,968.75
2008-11-30,896.24
2008-12-31,903.25
2009-01-31,825.88
2009-02-28,735.09
2009-03-31,797.87
2009-04-30,872.81
2009-05-31,942.87
2009-06-30,919.32
2009-07-31,1010.48
2009-08-31,1025.21
2009-09-30,1057.15
2009-10-31,1036.19
2009-11-30,1108.10
2009-12-31,1115.10
2010-01-31,1073.87
2010-02-28,1104.49
2010-03-31,1169.43
2010-04-30,1184.34
2010-05-31,1089.41
2010-06-30,1060.06
2010-07-31,1101.60
2010-08-31,1049.33
2010-09-30,1144.97
2010-10-31,1183.26
2010-11-30,1187.35
2010-12-31,1257.64
2011-01-31,1286.12
2011-02-28,1327.22
2011-03-31,1325.83
2011-04-30,1347.38
2011-05-31,1345.20
2011-06-30,1320.64
2011-07-31,1306.50
2011-08-31,1218.89
2011-09-30,1131.42
2011-10-31,1253.30
2011-11-30,1244.52
2011-12-31,1257.60
